AL,"Welcome to the Haskell Interlude. My name is Andres Löh, and my co-host is Niki Vazou.",
NV,Hello!,
AL,"Our guest today is Théophile Choutri, perhaps better known in the Haskell community as Hécate. In the next hour, we'll talk about the importance of documentation that is alive, the Haskell School project to create an online open source book on all aspects of Haskell, and the future of Hackage.",
AL,"Welcome Théophile, glad to have you with us.",
TC,"Hi, it's a pleasure!",
AL,"To get started, why don't you tell us how you got into Haskell.",
TC,"So, I went into Haskell through a series of hoops most unlikely. I started-- I'm entirely self-taught, and I started doing some sysadmin stuff around high school. And then a friend of mine told me about Erlang and Elixir that are used in his company. And I got to play a bit with them. And once I finished high school I had written a couple of servers-- server-side software in Elixir, and I was faced with a choice of languages to learn to write client-side software.

So I tried Golang, I tried Rust at the time, OCaml, and Haskell. And for various reasons I stuck with Haskell. I thought it was the one with which I could learn the most, considering that I wasn't planning on ever doing computer science studies. So yes, I went with Haskell with the idea to learn. And never stopped learning.",
NV,And so can you tell us a little bit more about this self-taught thing? Because I think Haskell is not a very easy language to get started in by yourself. How did you do it?,
TC,"I think the thing that unlocked me was the book Learning Haskell from First Principles, from Julie Moronuki and Chris Allen. It was remarkable, honestly, I could just start with Chapter 1 and writing some lambda calculus by hand with paper and a pencil. A really fantastic book, and I've been quite hooked on the next things that Julie produced with Chris Martin. So yeah, I would say it is this book that unlocked things for me in Haskell.",
AL,"It's a huge book, right? I mean, have you read the entire book?",
TC,"Uhh, yes? I think more or less. I may have skipped some parts because I read it not in one way around -- so I left it a bit, I went back to the parts that were of interest to me at the time -- but yeah, in some way or another, I definitely read the whole book.",
AL,"So, how difficult was it getting from this self-taught Haskell from the book to actually being able to use Haskell for either your own projects or even for work?",
TC,"It was quite painful, actually! No secret here. And I can be very daft at times, so it was remarkably painful even sometimes. Some of the-- OK, so I was highly biased by Erlang and Elixir on how to write applications, how to write systems. And having none of those primitives and concepts in Haskell really messed up my mind. I was desperately looking for an actor framework and concurrency in Haskell, only to find out that Cloud Haskell was deprecated, or at least aging very badly.

So, it took some time, honestly, to find the proper patterns, the good ways to write applications. I would say that I never truly felt confident writing real applications until I got my first job in Haskell. And that was an entirely new level.",
AL,"Did you specifically look for a Haskell job at that time, or did it just happen?",
TC,"Um, I was looking for an FP [functional programming] job at first. I was coming out of my first programming job ever -- it was in Elixir -- and I was more or less looking in those waters. And then someone who had seen me give a talk at the Paris Haskell meetup offered me a job. And I took it. And yeah, quite a radical change of pace and contents when writing Haskell applications",
NV,So can you compare a little bit more Elixir with Haskell...,
TC,Sure.,
NV,...because I think they have many things in common. I know very few things about Elixir but I know they have a very passionate community too!,
